"","locs.site","coords.x1","coords.x2","optional"
"1",86,-106.796064852074,39.2089937642944,TRUE
"2",87,-106.795891095035,39.2094469505168,TRUE
"3",88,-106.794689841749,39.2095735895738,TRUE
"4",84,-106.794243841075,39.2097967048174,TRUE
"5",90,-106.793336587675,39.2100990029063,TRUE
"6",91,-106.792273556093,39.2101964582449,TRUE
"7",92,-106.789970482367,39.2107184255347,TRUE
"8",93,-106.789211644482,39.2109373192313,TRUE
"9",94,-106.788367647305,39.21099533322,TRUE
"10",95,-106.788543284896,39.2106142101728,TRUE
"11",96,-106.78720169868,39.2106888663617,TRUE
"12",97,-106.785706470156,39.2110992382486,TRUE
"13",98,-106.784738993663,39.2113122916158,TRUE
"14",99,-106.784123164163,39.211691143213,TRUE
"15",100,-106.783248889689,39.2110107521857,TRUE
"16",101,-106.784009979285,39.2104224468151,TRUE
"17",102,-106.767074687548,39.2158524647652,TRUE
"18",103,-106.765308554995,39.2151674471964,TRUE
"19",104,-106.765371624631,39.2139861605712,TRUE
"20",105,-106.765578137854,39.2129829023573,TRUE
"21",106,-106.766320984752,39.2125842014627,TRUE
"22",107,-106.768231031251,39.2148528067039,TRUE
"23",108,-106.766886748581,39.2139001125812,TRUE
"24",109,-106.767839071383,39.2140027925184,TRUE
